Molecular Formula,rdkit_SMILES,SMILES,chemical name,Molecular Weight
H2,[H][H],[H][H],dihydrogen,2.016
CH4,C,C,methane,16.043
H3N,N,N,ammonia,17.031
H2O,O,O,water,18.015
C2H2,C#C,C#C,ethyne,26.038
CHN,C#N,C#N,hydrogen cyanide,27.026
N2,N#N,N#N,dinitrogen,28.014
C2H4,C=C,C=C,ethene,28.054
CH2O,C=O,C=O,formaldehyde,30.026
C2H6,CC,CC,ethane,30.07
HNO,[N]=O,[N]=O,nitrosyl hydride,31.014
CH5N,CN,NC,methanamine,31.058
O2,O=O,O=O,dioxygen,31.998
CH4O,CO,OC,methanol,32.042
H4N2,NN,NN,hydrazine,32.046
H3NO,NO,NO,hydroxylamine,33.03
H3P,P,P,phosphane,33.9978
H2O2,OO,OO,hydrogen peroxide,34.014
CH3F,CF,C(F),fluoromethane,34.0334
CH3F,S,S,hydrogen sulfide,34.076
C3H4,C1=CC1,C1=CC1,cyclopropene,40.065
C3H4,C#CC,CC#C,prop-1-yne,40.065
C3H4,C=C=C,C=C=C,"propa-1,2-diene",40.065
C2H3N,C1=CN1,C1=CN1,1H-azirine,41.053
C2H3N,CC#N,N#CC,acetonitrile,41.053
C2H3N,[C-]#[N+]C,C[N+]#[C-],isocyanomethane,41.053
C2H2O,C1=CO1,C1=CO1,oxirene,42.037
CH2N2,N#CN,N#CN,cyanamide,42.041
C3H6,C1CC1,C(C1)(C1),cyclopropane,42.081
C3H6,C=CC,CC=C,prop-1-ene,42.081
CHNO,N#CO,OC#N,cyanic acid,43.025
HN3,[N-]=[N+]=N,N=[N+]=[N-],hydrogen azide,43.029
C2H5N,C1CN1,C1CN1,aziridine,43.069
C2H5N,C=CN,C=CN,ethenamine,43.069
C2H5N,C=NC,CN=C,N-methylmethanimine,43.069
CO2,O=C=O,O=C=O,carbon dioxide,44.009
C2HF,C#CF,C#C(F),fluoroethyne,44.0284
C2H4O,CC=O,O=CC,acetaldehyde,44.053
C2H4O,C1CO1,C1CO1,oxirane,44.053
CH4N2,C1NN1,N1NC1,diaziridine,44.057
C3H8,CCC,CCC,propane,44.097
CH3NO,NC=O,O=CN,formamide,45.041
C2H7N,CNC,CNC,dimethylamine,45.085
C2H7N,CCN,NCC,ethanamine,45.085
NO2-,O=N[O-],O=N[O-],nitrite,46.0055
CH2O2,O=CO,O=CO,formic acid,46.025
C2H3F,C=CF,C=C(F),fluoroethene,46.0444
C2H6O,CCO,OCC,ethanol,46.069
C2H6O,COC,COC,methoxymethane,46.069
CH6N2,CNN,NNC,methylhydrazine,46.073
CH5NO,CNO,CNO,N-methylhydroxylamine,47.057
CH5NO,CON,NOC,O-methylhydroxylamine,47.057
HOP,O=P,P=O,oxophosphane,47.9808
O3,O=[O+][O-],O=[O+][O-],ozone,47.997
CH5P,CP,CP,methylphosphane,48.0248
CH4O2,COO,COO,hydroperoxymethane,48.041
C2H5F,CCF,C(CF),fluoroethane,48.0604
CH4S,CS,SC,methanethiol,48.103
H4NP,NP,NP,phosphanamine,49.0128
CH4FN,NCF,NC(F),fluoromethanamine,49.0484
CH3FO,OCF,OC(F),fluoromethanol,50.0324
C4H2,C#CC#C,C#CC#C,"buta-1,3-diyne",50.06
CH3Cl,CCl,CCl,chloromethane,50.485
C3HN,C#CC#N,C#CC#N,propiolonitrile,51.048
CH2F2,FCF,C(F)(F),difluoromethane,52.0238
C2N2,N#CC#N,N#CC#N,cyanogen,52.036
C4H4,C#CC=C,C=CC#C,but-1-en-3-yne,52.076
C4H4,C=C=C=C,C=C=C=C,"buta-1,2,3-triene",52.076
C2H4BN,NB1C=C1,B1(C=C1)N,1H-boriren-1-amine,52.871
C3H3N,C=CC#N,C=CC#N,acrylonitrile,53.064
C3H3N,[C-]#[N+]C=C,[C-]#[N+]C=C,isocyanoethene,53.064
C3H2O,O=c1cc1,C1=CC1=O,cycloprop-2-en-1-one,54.048
C3H2O,C=C=C=O,C=C=C=O,"propa-1,2-dien-1-one",54.048
C3H2O,C#CC=O,O=CC#C,propiolaldehyde,54.048
C4H6,CC1=CC1,CC1=CC1,1-methylcycloprop-1-ene,54.092
C4H6,CC1C=C1,CC1C=C1,3-methylcycloprop-1-ene,54.092
C4H6,C1C2CC12,C1C2CC12,bicyclo[1.1.0]butane,54.092
C4H6,C#CCC,CCC#C,but-1-yne,54.092
C4H6,CC#CC,CC#CC,but-2-yne,54.092
C4H6,C=C=CC,C=C=CC,"buta-1,2-diene",54.092
C4H6,C=CC=C,C=CC=C,"buta-1,3-diene",54.092
C4H6,C1=CCC1,C1CC=C1,cyclobutene,54.092
C4H6,C=C1CC1,C=C1CC1,methylenecyclopropane,54.092
C2HNO,N#CC=O,C(=O)C#N,formyl cyanide,55.036
C3H5N,CC1=CN1,CC1=CN1,2-methyl-1H-azirine,55.08
C3H5N,C=C1CN1,C=C1CN1,2-methyleneaziridine,55.08
C3H5N,NC1C=C1,C1=CC1N,cycloprop-2-en-1-amine,55.08
C3H5N,[C-]#[N+]CC,CC[N+]#[C-],isocyanoethane,55.08
C3H5N,C=C=NC,CN=C=C,N-methylethenimine,55.08
C3H5N,C=CN=C,N(C=C)=C,N-vinylmethanimine,55.08
C3H5N,C#CCN,NCC#C,prop-2-yn-1-amine,55.08
C3H5N,CCC#N,CCC#N,propiononitrile,55.08
C2O2,O=C=C=O,C(=C=O)=O,"ethene-1,2-dione",56.02
CN2O,[N-]=[N+]=C=O,[N-]=[N+]=C=O,diazomethanone,56.024
CN2O,N#CN=O,N#CN=O,nitrosyl cyanide,56.024
C3H4O,C=C1CO1,C=C1CO1,2-methyleneoxirane,56.064
C3H4O,CC1=CO1,CC1=CO1,2-methyloxirene,56.064
C3H4O,C=CC=O,O=CC=C,acrylaldehyde,56.064
C3H4O,O=C1CC1,C1CC1=O,cyclopropanone,56.064
C3H4O,CC=C=O,O=C=CC,prop-1-en-1-one,56.064
C3H4O,C#CCO,OCC#C,prop-2-yn-1-ol,56.064
C2H4N2,N#CCN,N#CCN,2-aminoacetonitrile,56.068
C2H4N2,CC=[N+]=[N-],[N-]=[N+]=CC,diazoethane,56.068
C2H4N2,CNC#N,CNC#N,N-methylcyanamide,56.068
C4H8,C=C(C)C,C=C(C)C,2-methylprop-1-ene,56.108
C4H8,C=CCC,CCC=C,but-1-ene,56.108
C4H8,CC=CC,CC=CC,but-2-ene,56.108
C4H8,C1CCC1,C1CCC1,cyclobutane,56.108
C4H8,CC1CC1,CC1CC1,methylcyclopropane,56.108
C2H8BN,CB(C)N,B(N)(C)C,dimethylboranamine,56.903
C2H3NO,N#CCO,N#CCO,2-hydroxyacetonitrile,57.052
C2H3NO,O=C1CN1,C1C(=O)N1,aziridin-2-one,57.052
C2H3NO,COC#N,N#COC,cyanatomethane,57.052
C2H3NO,CN=C=O,CN=C=O,isocyanatomethane,57.052
C2H3NO,C=CN=O,O=NC=C,nitrosoethene,57.052
C2H3NO,C#CON,NOC#C,O-ethynylhydroxylamine,57.052
CH3N3,CN=[N+]=[N-],[N-]=[N+]=NC,azidomethane,57.056
C3H7N,CN1CC1,N1(C)CC1,1-methylaziridine,57.096
C3H7N,CC1CN1,CC1CN1,2-methylaziridine,57.096
C3H7N,C1CNC1,C1CCN1,azetidine,57.096
C3H7N,NC1CC1,NC1CC1,cyclopropanamine,57.096
C3H7N,C=NCC,N(=C)CC,N-ethylmethanimine,57.096
C3H7N,C=CNC,C=CNC,N-methylethenamine,57.096
C3H7N,CC=CN,C\C=C\N,prop-1-en-1-amine,57.096
C3H7N,C=C(C)N,C=C(N)C,prop-1-en-2-amine,57.096
C3H7N,C=CCN,NCC=C,prop-2-en-1-amine,57.096
C2H7BO,CB(C)O,OB(C)C,hydroxydimethylborane,57.887
C2H2O2,O=CC=O,O=CC=O,oxalaldehyde,58.036
CH2N2O,N#CNO,N#CNO,N-hydroxycyanamide,58.04
C3H3F,FC1=CC1,FC1=CC1,1-fluorocycloprop-1-ene,58.0554
C3H3F,CC#CF,C(C#CF),1-fluoroprop-1-yne,58.0554
C3H3F,FC1C=C1,FC1C=C1,3-fluorocycloprop-1-ene,58.0554
C3H3F,C#CCF,C(F)(C#C),3-fluoroprop-1-yne,58.0554
C3H6O,CC1CO1,CC1CO1,2-methyloxirane,58.08
C3H6O,OC1CC1,OC1CC1,cyclopropanol,58.08
C3H6O,C=COC,COC=C,methoxyethene,58.08
C3H6O,C1COC1,C1CCO1,oxetane,58.08
C3H6O,C=CCO,OCC=C,prop-2-en-1-ol,58.08
C3H6O,CC(C)=O,CC(C)=O,propan-2-one,58.08
C3H6O,CCC=O,O=CCC,propionaldehyde,58.08
C2H6N2,CN=NC,C/N=N/C,"1,2-dimethyldiazene",58.084
C2H6N2,C=NNC,N(=C)NC,1-methyl-2-methylenehydrazine,58.084
C2H6N2,CC(=N)N,CC(=N)N,acetimidamide,58.084
