planet_name,planet_mass,planet_radius,star_name,star_distance_to_us (pc),star_mass,star_radius,star_sp_type,has_atmospere
Earth,0.00314558,0.08921,Sun,0.00000484,1,1,G,YES
Mercury,0.000173910112,0.0341263728,Sun,0.00000484,1,1,G,YES
Venus,0.00256427115,0.08464961232,Sun,0.00000484,1,1,G,YES
Mars,0.000338065886,0.0474077448,Sun,0.00000484,1,1,G,YES
Jupiter,1,1,Sun,0.00000484,1,1,G,YES
51 Peg b,0.47,1.9,51 Peg,14.7,1.11,1.266,G2 IV,
55 Cnc b,0.84,,55 Cnc,12.34,1.015,0.98,K0IV-V,
55 Cnc e,0.02703,0.1737,55 Cnc,12.34,1.015,0.98,K0IV-V,
70I-469 c,0.0142,0.141,TOI-469,68.192,0.91,1.0,,
AU Mic b,0.116,0.4571,AU Mic,9.79,0.5,0.75,M1V,
AU Mic c,0.101,0.28,AU Mic,9.79,0.5,0.75,M1V,
AU Mic d,0.003187,,AU Mic,9.79,0.5,0.75,M1V,
BD+20 594 b,0.07,0.23,BD+20 594,180.39,1.67,1.08,G,
BLG-1691L b,0.046,,OGLE-2017-BLG-1691L,7290.0,0.45,,,
CD Cet b,0.01244,,CD Cet,8.609,0.161,0.175,M5.0,
CoRoT-12 b,0.917,1.44,CoRoT-12,1150.0,1.078,1.116,G2V,
CoRoT-16 b,0.535,1.17,CoRoT-16,840.0,1.098,1.19,G5V,
CoRoT-22 b,0.06,0.4354,CoRoT-22,592.0,1.099,1.136,G0IV,
CoRoT-24 b,0.018,0.33,CoRoT-24,600.0,0.91,0.86,K1V,
CoRoT-24 c,0.088,0.44,CoRoT-24,600.0,0.91,0.86,K1V,
CoRoT-25 b,0.27,1.08,CoRoT-25,1000.0,1.09,1.19,G0V,
CoRoT-26 b,0.52,1.26,CoRoT-26,1670.0,1.09,1.79,G8IV,
CoRoT-29 b,0.85,0.9,CoRoT-29,765.0,0.976,0.9,KOV,
CoRoT-31 b,0.84,1.46,CoRoT-31,2190.0,1.25,2.15,G2IV,
CoRoT-32 b,0.15,0.57,CoRoT-32,,1.09,0.79,G0VI,
CoRoT-36 b,0.68,1.41,CoRoT-36,954.0,1.32,1.52,,
CoRoT-4 b,0.72,1.19,CoRoT-4,,1.1,1.15,F8V,
CoRoT-5 b,0.467,1.33,CoRoT-5,400.0,1.0,1.186,F9V,
CoRoT-7 b,0.041812,0.136,CoRoT-7,150.0,0.93,0.87,K0V,
CoRoT-8 b,0.2158,0.5692,CoRoT-8,380.0,0.88,0.77,K1V,
CoRoT-9 b,0.84,0.94,CoRoT-9,460.0,0.99,0.94,G3V,
DS Tuc A b,0.0453,0.5085,DS Tuc A,44.12,0.959,0.872,G6V,
EPIC 201295312 b,0.0379,0.245,K2-44,483.19,1.15,1.58,,
EPIC 205084841 b,0.3883,1.561,EPIC 205084841,860.4,1.168,1.313,,
EPIC 211442297 b,0.84,1.115,K2-115,418.58,0.95,0.88,G4,
EPIC 211945201 b,0.085,0.514,EPIC 211945201,182.69,1.17,1.39,G0,
EPIC 212737443 b,0.02907,0.231,EPIC 212737443,347.45,0.69,0.67,K3,
EPIC 212737443 c,0.0303,0.24,EPIC 212737443,347.45,0.69,0.67,K3,
EPIC 246193072 b,0.26,0.774,EPIC 246193072,230.4,0.901,0.822,,
Exomoon Kepler-1708 b-i,0.116,0.2329,Kepler-1708,1667.0,1.088,1.117,,
G 9-40 b,0.013,0.17,G 9-40,27.93,0.29,0.31,M2.5 V,
GJ 1018 b,0.00843,0.1356,GJ 1018,22.075,0.427,0.428,M2,
GJ 1132 b,0.00522,0.1035,GJ 1132,12.04,0.181,0.207,M3.5,
GJ 1214 b,0.02571,0.24463,GJ 1214,13.0,0.15,0.216,M,
GJ 1252 b,0.00415,0.1053,GJ 1252,20.38,0.381,0.391,,
GJ 143 b,0.0714,0.2329,GJ 143,16.33,0.76,0.73,K4.5V,
GJ 143 c,0.01164,0.07958,GJ 143,16.33,0.76,0.73,K4.5V,
GJ 273 b,0.00922,,GJ 273,3.8,0.29,0.293,M3.5,
GJ 273 c,0.00374,,GJ 273,3.8,0.29,0.293,M3.5,
GJ 273 d,0.03448,,GJ 273,3.8,0.29,0.293,M3.5,
GJ 273 e,0.0297,,GJ 273,3.8,0.29,0.293,M3.5,
GJ 3090 b,0.01051,0.19,GJ 3090,22.444,0.519,0.516,,
GJ 3470 b,0.03958,0.37380742940036,GJ 3470,30.7,0.51,0.48,M1.5,
GJ 3473 b,0.00585,0.11277,GJ 3473,27.39,0.36,0.364,M4V,
GJ 357 b,0.006566,0.10411,GJ 357,9.444,0.342,0.337,M2.5 V,
GJ 3634 b,0.026,,GJ 3634,19.8,0.45,0.43,M2.5,
GJ 367  b,0.001718,0.0526,GJ 367,9.41,0.454,0.457,M1,
GJ 3929 b,0.00381,0.1026,GJ 3929,15.83,0.309,0.35,M3.5V,
GJ 436 b,0.07,0.38,GJ 436,10.2,0.452,0.464,M2.5,
GJ 486 b,0.00887,0.11643,GJ 486,8.0761,0.323,0.328,M3.5V,
GJ 876 d,0.021741,,GJ 876,4.7,0.334,0.36,M4 V,
GJ 876 e,0.04855,,GJ 876,4.7,0.334,0.36,M4 V,
GJ 9827 b,0.01532,0.13641,GJ 9827,30.3,0.659,0.651,K6V,
GJ 9827 c,0.00604,0.107,GJ 9827,30.3,0.659,0.651,K6V,
GJ 9827 d,0.01076,0.17441,GJ 9827,30.3,0.659,0.651,K6V,
GQ Lup b,0.013,1.8,GQ Lup,140.0,0.7,,K7eV,
Gaia-2 b,0.773,1.327,Gaia-2,207.2,1.0,1.064,,
Gaia22dkv b,0.5,,Gaia22dkv,1350.0,1.24,,,
HAT-P-1 b,0.525,1.319,HAT-P-1,139.0,1.151,1.174,GOV,
HAT-P-10 A b,0.46,1.045,HAT-P-10 A,125.0,0.82,0.81,K3V,
HAT-P-11 b,0.0736,0.389,HAT-P-11,37.89,0.809,0.683,K4,
HAT-P-12 b,0.210489884529,0.949,HAT-P-12,142.5,0.73,0.7,,
HAT-P-13 b,0.85,1.28,HAT-P-13,214.0,1.22,1.56,G4,
HAT-P-17 b,0.534,1.01,HAT-P-17,90.0,0.857,0.837,K,
HAT-P-18 b,0.183,0.947,HAT-P-18,166.0,0.77,0.717,K,
HAT-P-19 b,0.292,1.132,HAT-P-19,215.0,0.842,0.82,K,
HAT-P-24 b,0.685,1.242,HAT-P-24,405.0,1.191,1.317,F8,
HAT-P-25 b,0.567,1.19,HAT-P-25,297.0,1.01,0.959,G5,
HAT-P-26 b,0.0585,0.57,HAT-P-26,134.0,0.816,0.788,K1,
HAT-P-27 b,0.66,1.055,HAT-P-27,204.0,0.945,0.898,G8,
HAT-P-28 b,0.626,1.212,HAT-P-28,395.0,1.025,1.103,G3,
HAT-P-29 b,0.778,1.107,HAT-P-29,322.0,1.207,1.224,F8,
HAT-P-3 b,0.591,0.827,HAT-P-3,130.0,0.917,0.799,K,
HAT-P-30 b,0.711,1.34,HAT-P-30,193.0,1.18,1.33,F,
HAT-P-32 b,0.75,1.789,HAT-P-32,320.0,1.176,1.387,F/G,
HAT-P-33 b,0.763,1.827,HAT-P-33,419.0,1.403,1.777,F,
HAT-P-38 b,0.267,0.825,HAT-P-38,249.0,0.886,0.923,G,
HAT-P-39 b,0.599,1.571,HAT-P-39,642.0,1.404,1.625,,
HAT-P-4 b,0.68,1.27,HAT-P-4,310.0,1.26,1.59,F,
HAT-P-40 b,0.615,1.73,HAT-P-40,501.0,1.512,2.206,,
HAT-P-41 b,0.8,1.685,HAT-P-41,344.0,1.28,1.19,,
HAT-P-42 b,0.975,1.277,HAT-P-42,447.0,1.179,1.528,,
HAT-P-43 b,0.66,1.283,HAT-P-43,543.0,1.048,1.104,,
HAT-P-44 b,0.392,1.28,HAT-P-44,374.0,0.939,0.979,,
HAT-P-45 b,0.892,1.426,HAT-P-45,305.0,1.259,1.319,,
HAT-P-46 b,0.493,1.284,HAT-P-46,296.0,1.284,1.396,,
HAT-P-47 b,0.206,1.313,HAT-P-47,268.0,1.387,1.515,,
HAT-P-48 b,0.168,1.131,HAT-P-48,305.0,1.099,1.223,,
HAT-P-51 b,0.309,1.293,HAT-P-51,470.0,0.976,1.041,,
HAT-P-52 b,0.819,1.009,HAT-P-52,385.0,0.887,0.893,,
HAT-P-54 b,0.76,0.944,HAT-P-54,135.8,0.645,0.617,K,
HAT-P-55 b,0.582,1.182,HAT-P-55,480.0,1.013,1.011,,
HAT-P-58 b,0.372,1.332,HAT-P-58,519.0,1.031,1.53,,
HAT-P-60 b,0.574,1.631,HAT-P-60,235.4,1.435,2.197,,
HAT-P-62 b,0.761,1.073,HAT-P-62,353.1,1.023,1.17,,
HAT-P-63 b,0.614,1.119,HAT-P-63,408.0,0.925,0.9661,,
HAT-P-64 b,0.58,1.703,HAT-P-64,635.0,1.298,1.735,,
HAT-P-65 b,0.527,1.89,HAT-P-65,841.0,1.212,1.86,,
HAT-P-66 b,0.783,1.59,HAT-P-66,927.0,1.255,1.881,,
HAT-P-67 b,0.34,2.085,HAT-P-67,320.0,1.642,1.546,F,
HAT-P-68 b,0.724,1.072,HAT-P-68,202.0,0.6785,0.67,,
HAT-P-9 b,0.67,1.4,HAT-P-9,480.0,1.28,1.32,F,
HATS-10 b,0.526,0.969,HATS-10,496.0,1.1,1.105,,
HATS-11 b,0.85,1.609,HATS-11,967.34,1.33,1.54,G0,
HATS-13 b,0.543,1.212,HATS-13,476.0,0.962,0.887,,
HATS-19 b,0.427,1.66,HATS-19,780.0,1.303,1.74,G0,
HATS-20 b,0.273,0.776,HATS-20,454.0,0.91,0.892,G9V,
HATS-21 b,0.332,1.123,HATS-21,286.0,1.08,1.021,G4V,
HATS-25 b,0.613,1.26,HATS-25,466.0,0.994,1.107,G,
HATS-26 b,0.65,1.75,HATS-26,907.0,1.299,2.04,F,
HATS-27 b,0.53,1.5,HATS-27,840.0,1.415,1.74,F,
HATS-28 b,0.672,1.194,HATS-28,521.0,0.929,0.922,G,
HATS-29 b,0.653,1.251,HATS-29,351.0,1.032,1.073,G,
HATS-30 b,0.706,1.175,HATS-30,339.0,1.093,1.061,,
HATS-31 b,0.88,1.64,HATS-31,872.0,1.275,1.87,,
HATS-32 b,0.92,1.249,HATS-32,839.0,1.099,1.097,,
HATS-34 b,0.941,1.43,HATS-34,532.0,0.955,0.98,,
HATS-37A b,0.099,0.606,HATS-37A,211.1,0.843,0.877,,
HATS-38 b,0.074,0.614,HATS-38,347.7,0.89,1.105,,
HATS-39 b,0.63,1.57,HATS-39,773.0,1.379,1.621,,
HATS-43 b,0.261,1.18,HATS-43,341.0,0.837,0.812,K,
HATS-44 b,0.56,1.067,HATS-44,463.0,0.86,0.847,K,
